Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Fontburn Reservoir,FBR,A,Valve tower near dam wall,604,55 14.199N 001 55.486W,,19,NW,Newcastle,40488 59361,FBR,FBR
Feshie Airstrip,FE1,D#,Centre of strip,860,57 06.113N 003 53.504W,118.685,24,SE,Inverness,28550 80280,FE1,FE1
Feshie Start N,FE2,D#,Monument,1175,57 09.422N 003 51.470W,,22,SSE,Inverness,28772 80888,FE2,FE2
Feshie Descent Point,FE3,G#,Loch Insh,715,57 06.884N 003 56.020W,,23,SSE,Inverness,28300 80430,FE3,FE3
Feshie S,FE5,D,Small Loch,2493,57 00.003N 003 52.551W,,30,SSE,Inverness,28615 79144,FE5,FE5
Fearnan,FEA,A,A827 T Junction,356,56 34.438N 004 05.034W,,28,N,Stirling,27207 74439,FEA,FEA
Fenny Compton,FEN,A,A423 Br over rail,240,52 09.998N 001 21.855W,,6,N,Banbury,44358 25223,FEN,FEN
Ferness,FER,A,A939/River Bridge,820,57 29.659N 003 44.247W,,16,E,Inverness,29596 84623,FER,FER
Feshiebridge,FES,D#,Gliding Club Hangar,860,57 06.100N 003 53.671W,118.685,24,SSE,Inverness,28533 80278,FES,FES
Fettercairn,FET,C,B966/B974,394,56 51.093N 002 34.499W,,23,SW,Aberdeen,36503 77349,FET,FET
Felixstowe Pier,FEX,B,Pier entrance,20,51 57.476N 001 20.768E,,9,SE,Ipswich,63000 23412,FEX,FEX
Farnsfield,FFD,D,Rail/Road,180,53 06.433N 001 02.019W,,21,SW,Lincoln,46479 35711,FFD,FFD
Fforest Inn,FFI,C,Y-Junction,1153,52 13.108N 003 12.925W,,42,WNW,Gloucester,31706 25850,FFI,FFI
Forfar,FFR,C,Loch East End,230,56 38.757N 002 54.016W,,11,N,Dundee,34489 75082,FFR,FFR
Fan Hir,FHI,D,Trig point,2631,51 52.943N 003 42.488W,,17,NNE,Swansea,28253 22180,FHI,FHI
Fownhope,FHP,C,Crossroads,175,52 00.468N 002 36.966W,,5,SE,Hereford,35781 23455,FHP,FHP
