Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Halfway Bridge,HWB,C,A272 Junction,105,50 59.313N 000 40.690W,,23,WNW,Brighton,49287 12185,HWB,HWB
Halfway House,HWH,C,Rail/B4387,220,52 41.543N 002 58.145W,,8,W,Shrewsbury,33460 31096,HWH,HWH
Haltwistle,HWL,A#,Bridge,350,54 57.948N 002 27.109W,,16,E,Carlisle,37117 56356,HWL,HWL
Hay East,HYE,C,Crossroads,328,52 06.175N 003 01.037W,,12,WNW,Hereford,33042 24544,HYE,HYE
Ilsley,ILS,C,Church Tower,390,51 31.503N 001 17.455W,,8,N,Newbury,44929 18092,ILS,ILS
Insch,INC,C,B992/Rail Br,499,57 20.267N 002 37.087W,,19,NW,Aberdeen,36289 82764,INC,INC
Ingleton,ING,C,A65/River Greta Br,360,54 08.973N 002 28.659W,,13,ENE,Lancaster,36890 47274,ING,ING
Inchkinloch,INK,A,Road/River Bridge,377,58 21.858N 004 23.874W,,40,WSW,Wick,25982 94426,INK,INK
Inverary,INV,C,A83/A819,39,56 13.913N 005 04.438W,,15,NNW,Greenock,20956 70862,INV,INV
Ipswich E,IPE,A,A12/A1214,105,52 04.181N 001 16.164E,,3,E,Ipswich,62417 24630,IPE,IPE
Inverness SE,ISE,A#,A9/9154,558,57 25.110N 004 08.061W,,5,SE,Inverness,27191 83847,ISE,ISE
Islip,ISL,A#!,Rail Station,235,51 49.556N 001 14.291W,,4,N,Oxford,45260 21442,ISL,ISL
Invershin,IVS,A,Rail/River Bridge,35,57 55.435N 004 24.052W,,24,E,Ullapool,25790 89525,IVS,IVS
Ivybridge East,IVY,B,Minor road bridge over A38,312,50 23.235N 003 53.729W,,9,E,Plymouth,26535 05587,IVY,IVY
Iwerne Minster,IWE,C,A350 T junction,256,50 55.810N 002 11.583W,,17,WSW,Salisbury,38653 11454,IWE,IWE
Jedburgh,JED,A,River/A68,30,55 30.345N 002 34.338W,,24,SW,Berwick,36395 62370,JED,JED
Kielder Castle,KCA,C,Road T junct,660,55 13.994N 002 35.263W,,24,NE,Carlisle,36272 59338,KCA,KCA
Kincraig,KCG,B#,Spey Bridge,656,57 07.564N 003 55.580W,,23,SSE,Inverness,28348 80555,KCG,KCG
Kendal,KDL,A,Rail/river bridge,164,54 20.108N 002 44.751W,,16,N,Lancaster,35160 49354,KDL,KDL
Keevil,KEE,C#,A/F R/Ws 24/20,200,51 18.956N 002 06.515W,129.980,9,ESE,Bath,39253 15743,KEE,KEE
Keswick,KEK,A,A66/A591,295,54 36.572N 003 08.481W,,18,SSW,Carlisle,32638 52442,KEK,KEK
Kelso,KEL,B,A698/River,30,55 35.706N 002 26.000W,,17,SW,Berwick,37279 63358,KEL,KEL
Kempock Point,KEM,D,Station,49,55 57.750N 004 49.028W,,2,W,Greenock,22425 67797,KEM,KEM
Kenley,KEN,D##!,A/F R/Ws 21/31,566,51 18.192N 000 05.713W,119.760,24,W,Maidstone,53288 15773,KEN,KEN
Kettering South,KES,A,A14/A509 Rbt,295,52 22.336N 000 42.847W,,9,NE,Northampton,48764 27569,KES,KES
Kexby Bridge,KEX,A#,Bridge,33,53 57.103N 000 55.641W,,6,E,York,47049 45116,KEX,KEX
Kingsclere,KGS,C,A339 Roundabout,295,51 19.786N 001 15.018W,,5,SE,Newbury,45233 15923,KGS,KGS
Kinbrace,KIB,A,Rail/B871,390,58 15.538N 003 56.465W,,29,WSW,Wick,28620 93167,KIB,KIB
Kinclaven,KIC,A,River Tay Bridge,131,56 31.590N 003 22.083W,,8,N,Perth,31594 73800,KIC,KIC
Kidderminster,KID,C,B4189/River Br,144,52 24.611N 002 15.081W,,12,N,Worcester,38300 27916,KID,KID
Kielder Reservoir,KIE,A,S end of Dam Wall,72,55 10.705N 002 27.621W,,25,NE,Carlisle,37078 58722,KIE,KIE
Kingussie,KIG,C,Station/B970 Br,755,57 04.689N 004 03.153W,,24,SSE,Inverness,27568 80044,KIG,KIG
Kirkharle,KIK,C,A696/B6342,112,55 08.223N 001 58.088W,,15,NW,Newcastle,40213 58252,KIK,KIK
Kilcreggan,KIL,D,Pier Land End,49,55 59.066N 004 49.230W,,4,NW,Greenock,22414 68042,KIL,KIL
Kingham,KIM,C,Rail/B4450,279,51 54.098N 001 37.664W,,17,NW,Oxford,42571 22263,KIM,KIM
Kineton,KIN,C,B4086/B4451,269,52 09.387N 001 30.599W,,8,NW,Banbury,43362 25102,KIN,KIN
Kippen,KIP,C,B822/B8037,52,56 07.599N 004 10.249W,,8,W,Stirling,26516 69478,KIP,KIP
Kirton-in-lindsey,KIR,C#,Control Tower,203,53 27.955N 000 34.768W,129.980,15,N,Lincoln,49440 39751,KIR,KIR
Kilham,KLH,C#,B6351T junction,236,55 35.221N 002 11.018W,,12,SSW,Berwick,38852 63261,KLH,KLH
Killin,KLN,A,A827/River Dochart,361,56 27.766N 004 19.190W,,24,NNW,Stirling,25716 73248,KLN,KLN
Kirkby Lonsdale,KLO,A,Bridge,197,54 11.834N 002 35.470W,,13,NE,Lancaster,36153 47810,KLO,KLO
Kinlet,KLT,C,B4363 Junction with B4194,418,52 25.146N 002 24.984W,,16,NNW,Worcester,37178 28020,KLT,KLT
King's Lynn,KLY,A,A17 Br over River,66,52 44.376N 000 23.119E,,24,ENE,Peterborough,56113 31844,KLY,KLY
Kentmere,KME,C,Bridge,525,54 25.696N 002 50.217W,,23,N,Lancaster,34580 50397,KME,KME
Kirkmichael,KML,A,A924/B950,689,56 43.202N 003 30.005W,,20,N,Perth,30829 75971,KML,KML
Kenmore,KMR,A,A827/River,197,56 35.139N 004 00.119W,,21,NW,Perth,27714 74554,KMR,KMR
Knaresborough,KNA,C,Station,89,54 00.554N 001 28.229W,,13,W,York,43480 45715,KNA,KNA
Knighton,KNI,C,A488/A4113,299,52 20.637N 003 02.936W,,21,NNW,Hereford,32864 27228,KNI,KNI
Knowstone,KNO,D,T junction,690,50 59.686N 003 40.461W,,16,NNW,Exeter,28259 12304,KNO,KNO
Knighton West,KNW,C,Rail/Road Bridge,862,52 20.496N 003 11.591W,,46,NW,Gloucester,31881 27217,KNW,KNW
Kirkbymoorside,KRB,B,A 170 Roundabout,164,54 15.984N 000 55.829W,,19,N,York,46976 48617,KRB,KRB
Kirriemuir,KRM,C,A926/B957,295,56 40.433N 003 00.401W,,12,N,Dundee,33841 75402,KRM,KRM
Kingston Bagpuize,KSB,A,A415/A420 Roundabout,302,51 41.120N 001 24.743W,,7,SW,Oxford,44072 19867,KSB,KSB
Kirkby Stephen Station,KST,A,Rail bridge over A685,820,54 27.325N 002 22.162W,,33,SE,Carlisle,37615 50673,KST,KST
Keith,KTH,C,Station,262,57 33.088N 002 57.265W,,16,SE,Lossiemouth,34298 85166,KTH,KTH
Kilmington,KTN,D,Church,722,51 07.708N 002 19.626W,,17,NE,Yeovil,37721 13663,KTN,KTN
Kinlochewe,KWE,A,A896/A832,100,57 36.269N 005 18.215W,,16,SSW,Ullapool,20272 86197,KWE,KWE
Knightwick,KWK,C,Road/River Bridge,96,52 11.970N 002 23.376W,,6,W,Worcester,37347 25577,KWK,KWK
Kibworth,KWO,A,A6/Rail,277,52 32.043N 000 58.663W,,6,S,Leicester,46944 29340,KWO,KWO
Kyleakin,KYL,B,A87 Roundabout,80,57 16.347N 005 44.694W,,33,NW,Fort William,17433 82641,KYL,KYL
Lasham Start Southeast,LA1,D##,Centre of complex of chicken sheds,538,51 09.832N 000 59.906W,,2,SE,Lasham,47013 14099,LA1,LA1
Lasham Start East,LA2,D##,Concrete Plinth,574,51 11.656N 001 00.639W,,0.5,NE,Lasham,46923 14436,LA2,LA2
Lasham Church,LA3,C##,Spire,600,51 10.692N 001 02.033W,,1,SW,Lasham,46763 14255,LA3,LA3
Lasham Start South,LA4,C##,A 339 crossroads,581,51 10.185N 001 02.647W,,1,SSW,Lasham,46693 14160,LA4,LA4
Lasham West,LA5,D#,Moundsmere Manor Swimming Pool,548,51 11.098N 001 06.360W,,3,W,Lasham,46258 14324,LA5,LA5
Lasham Start North,LA6,D##,Herriard Church Tower,568,51 12.551N 001 03.076W,,1.5,NNW,Lasham,46637 14598,LA6,LA6
Lauder,LAD,A,A68/A697,545,55 42.896N 002 44.377W,,25,W,Berwick,35363 64708,LAD,LAD
Llanelli East,LAE,A,A484 bridge,15,51 39.741N 004 04.780W,,4,NW,Swansea,25626 19800,LAE,LAE
Langport,LAG,C,A372/Rail,161,51 02.471N 002 49.181W,,9,NW,Yeovil,34263 12719,LAG,LAG
Lairg,LAI,A,A836/A839,280,58 01.450N 004 24.099W,,25,ENE,Ullapool,25825 90641,LAI,LAI
Lake Alaw Reservoir,LAL,A#,Centre of Dam Wall,128,53 20.431N 004 26.575W,,55,W,Chester,23746 38540,LAL,LAL
Lampeter,LAM,B,Bridge,377,52 06.520N 004 04.419W,,28,N,Swansea,25809 24762,LAM,LAM
Langham,LAN,C#,A/F R/Ws 25/21,20,52 56.325N 000 57.487E,,20,NW,Norwich,59888 34202,LAN,LAN
Lapford,LAP,A,Rail/A377,260,50 51.404N 003 48.598W,,14,NW,Exeter,27270 10792,LAP,LAP
Lattrig,LAR,D,Launch point,1200,54 36.844N 003 06.949W,,18,SSW,Carlisle,32804 52490,LAR,LAR
Lasham Finish North,LAS,D##,T junction,594,51 11.643N 001 02.000W,131.030,0.6,N,Lasham,46765 14431,LAS,LAS
Latheron,LAT,A,A9/A99,255,58 17.014N 003 22.029W,,13,SW,Wick,31993 93358,LAT,LAT
Launceston,LAU,A,A338 Bridge over A30,502,50 37.788N 004 21.031W,,31,WSW,Exeter,23386 08376,LAU,LAU
Longbridge Deverill,LBD,C,A350/B3095,341,51 09.999N 002 11.351W,,16,WNW,Salisbury,38687 14084,LBD,LBD
Loch Bradan E,LBE,A,E end of dam wall,1033,55 15.159N 004 27.768W,,33,WNW,Dumfries,24356 59815,LBE,LBE
Lambourn,LBN,A,B4000/B4507,394,51 30.480N 001 31.891W,,10,NW,Newbury,43261 17889,LBN,LBN
Laggan Bridge,LBR,A,Spey Bridge,817,57 01.122N 004 17.021W,,27,S,Inverness,26145 79427,LBR,LBR
Lochbuie,LBU,C,T junction,10,56 21.354N 005 52.365W,,14,W,Oban,16085 72491,LBU,LBU
Leighton Buzzard NE,LBZ,D#,Crossroads,331,51 56.040N 000 38.120W,,4.5,NW,Dunstable,49392 22704,LBZ,LBZ
Llyn Celyn NW,LCE,G,GNSS point based on Lat/Long,1310,52 57.500N 003 43.500W,,37,NW,Shrewsbury,28422 34150,LCE,LCE
Lanchester,LCH,C,Mast,102,54 49.311N 001 42.956W,,11,SSW,Newcastle,41835 54748,LCH,LCH
Lower Clopton,LCL,D,N end of village street,195,52 06.509N 001 45.437W,,15,W,Banbury,41672 24560,LCL,LCL
Lochindorb Castle,LDB,B,Castle on Island,971,57 24.352N 003 42.507W,,18,ESE,Inverness,29745 83634,LDB,LDB
Laggan Dam,LDM,B,Dam wall,820,56 53.379N 004 40.408W,,14,ENE,Fort William,23723 78077,LDM,LDM
Lindores,LDR,B,A913/B937,246,56 20.313N 003 11.566W,,10,SW,Dundee,32636 71688,LDR,LDR
Lochearnhead,LEA,A,A85/A84,161,56 23.132N 004 17.226W,,19,NNW,Stirling,25889 72382,LEA,LEA
Lake Eiddew-bach,LEB,D,Small Lake,1247,52 53.443N 004 00.879W,,46,WNW,Shrewsbury,26456 33448,LEB,LEB
Ledbury,LED,C,A438/A417 R'bout,249,52 02.657N 002 26.155W,,10,E,Hereford,37020 23852,LED,LED
Leadenham,LEH,A,Old A17/A607,197,53 03.421N 000 34.960W,,10,S,Lincoln,49509 35202,LEH,LEH
Leicester M1 Services,LEI,A,M1 Services Bridge,299,52 37.123N 001 12.353W,,3,WSW,Leicester,45386 30262,LEI,LEI
Leck,LEK,D,T Junction,344,54 11.225N 002 32.811W,,12,NE,Lancaster,36441 47695,LEK,LEK
Loch Eil West,LEL,A,Rail/A861 Br,33,56 51.559N 005 20.987W,,8,W,Fort William,19588 77921,LEL,LEL
Leicester North,LEN,A,Rail Fork,374,52 41.946N 001 05.038W,,4,N,Leicester,46200 31166,LEN,LEN
Leominster,LEO,A,A44/Rail,220,52 13.896N 002 44.002W,,10,N,Hereford,35001 25952,LEO,LEO
Loch Errochty East,LER,B,Dam wall centre,1100,56 45.874N 004 06.306W,,30,NW,Perth,27142 76564,LER,LER
Leicester South,LES,A,A 426 bridge over M1,315,52 32.155N 001 10.780W,,5,SSW,Leicester,45574 29343,LES,LES
Lewes North,LEW,A#,Rail/A275,85,50 54.218N 000 00.558W,,7,NE,Brighton,54007 11346,LEW,LEW
Leyburn,LEY,C,A6018/A684,151,54 18.492N 001 49.458W,,15,SSW,Darlington,41153 49030,LEY,LEY
Leighton Buzzard,LEZ,A,A505/A4146,404,51 54.078N 000 38.912W,,4,WNW,Dunstable,49308 22339,LEZ,LEZ
Lindisfarne Castle,LFC,A,Castle,26,55 40.139N 001 47.085W,,9,SE,Berwick,41364 64174,LFC,LFC
Llanfyllin,LFN,C,A490/B4391/B4393,194,52 46.151N 003 17.208W,,20,W,Shrewsbury,31328 31984,LFN,LFN
Loch Laggan North East,LGG,B,Br over R Pattack,820,56 58.500N 004 24.295W,,24,ENE,Fort William,25392 78966,LGG,LGG
Lochgilphead,LGI,A,A83/A816,43,56 02.257N 005 26.489W,,24,WNW,Greenock,18571 68809,LGI,LGI
Loch Garry N,LGN,C,Small dam,1362,56 49.394N 004 13.504W,,29,E,Fort William,26430 77240,LGN,LGN
Lochgoilhead,LGO,A,B839 river bridge,25,56 10.487N 004 54.195W,,28,NW,Glasgow,21987 70181,LGO,LGO
Lismore,LIS,A,Lighthouse,39,56 27.332N 005 36.460W,,5,NW,Oban,17780 73510,LIS,LIS
Littleport,LIT,A,A10/River Bridge,23,52 27.895N 000 19.293E,,16,NNE,Cambridge,55781 28775,LIT,LIT
Liskeard SE,LKD,A,A390 bridge over A38,395,50 27.001N 004 27.240W,,18,W,Plymouth,22588 06401,LKD,LKD
Llangollen,LLA,A,River Bridge,85,52 58.312N 003 10.206W,,20,NW,Shrewsbury,32152 34225,LLA,LLA
Llanbadarn,LLB,C,R Ithon Bridge,951,52 23.384N 003 19.666W,,28,SW,Shrewsbury,30974 27769,LLB,LLB
Llanfair Caereinion,LLC,C,B4389 Br over River,197,52 38.951N 003 19.577W,,20,W,Shrewsbury,31037 30654,LLC,LLC
Llandovery,LLD,A,Station/A40 Bridge,715,51 59.747N 003 48.120W,,21,N,Swansea,27638 23457,LLD,LLD
Lleweni Parc,LLE,C#,Hangar,200,53 12.680N 003 23.500W,129.980,18,W,Chester,30716 36915,LLE,LLE
Llangynidr Bridge,LLG,A,B4560 Bridge,361,51 52.488N 003 13.984W,,22,SW,Hereford,31521 22030,LLG,LLG
Llanidloes,LLI,A,B4158 Bridge,535,52 27.058N 003 32.349W,,32,SW,Shrewsbury,29550 28478,LLI,LLI
Llanymynech,LLM,C,Golf Clubhouse,626,52 47.426N 003 05.424W,,13,WNW,Shrewsbury,32657 32198,LLM,LLM
Llanrwst,LLN,B,Br over R Conwy,35,53 08.204N 003 47.841W,,33,W,Chester,27986 36146,LLN,LLN
Llandeilo,LLO,A,Bridge,102,51 52.745N 003 59.739W,,14,N,Swansea,26273 22194,LLO,LLO
Llantysilio,LLS,A#,A542/A5140/A525 R'bt,1120,53 03.012N 003 12.732W,129.980,15,SW,Chester,31884 35101,LLS,LLS
Loch Lomond Tarbet,LLT,A,A82/A83,66,56 12.211N 004 42.657W,,16,N,Greenock,23193 70452,LLT,LLT
Llandrindod Wells,LLW,B,A44/A483,699,52 16.492N 003 20.233W,,25,WNW,Hereford,30886 26492,LLW,LLW
Long Marston,LMA,D,R/Ws 22/16,154,52 08.491N 001 45.114W,,15,WNW,Banbury,41708 24928,LMA,LMA
Lochmaben,LMB,A,A709/B7020,164,55 07.733N 003 26.484W,,6,NE,Dumfries,30819 58256,LMB,LMB
Loch Mullardoch East,LMD,A#,Road T junction,660,57 20.445N 004 56.752W,,25,WSW,Inverness,22281 83164,LMD,LMD
Loch Morlich,LMO,D,Clubhouse,984,57 10.061N 003 42.135W,,25,SE,Inverness,29716 80982,LMO,LMO
Ledmore,LMR,A,A835/A837,475,58 03.995N 004 58.344W,,12,NNE,Ullapool,22476 91247,LMR,LMR
Loch Muick,LMU,C,Glas-Allt-Shiel House,1476,56 55.656N 003 11.458W,,28,NNW,Dundee,32761 78244,LMU,LMU
Leominster NW,LMW,A#,A4110/B4362,322,52 16.058N 002 50.659W,,13,NNW,Hereford,34248 26361,LMW,LMW
Loch Moy,LMY,D,Castle,656,57 22.932N 004 02.234W,,8,SE,Inverness,27762 83425,LMY,LMY
Lichfield NE,LNE,A#,A38/A513,213,52 43.601N 001 44.795W,,15,SW,Derby,41721 31437,LNE,LNE
Lochailort,LOA,A,A830/A861,65,56 52.680N 005 39.983W,,19,W,Fort William,17670 78228,LOA,LOA
Lockerbie,LOC,A,A74(M)/A709,165,55 07.131N 003 21.702W,,9,ENE,Dumfries,31325 58134,LOC,LOC
Linn of Dee,LOD,A,Road Br over River,1214,56 59.293N 003 32.735W,,47,WSW,Aberdeen,30618 78962,LOD,LOD
Loch Gairloch SE,LOG,A,A382/B8056,75,57 41.629N 005 39.412W,,15,SW,Ullapool,18216 87299,LOG,LOG
Loch Laidon Island,LOI,A,Triangular island,935,56 38.862N 004 39.312W,,31,ENE,Oban,23730 75381,LOI,LOI
Loch Kinord,LOK,B,Centre of Island,492,57 05.046N 002 55.493W,,27,WSW,Aberdeen,34404 79961,LOK,LOK
Loch Lochy North East,LOL,B,A82 Br over Caledonian Canal,120,57 02.661N 004 48.227W,,16,NE,Fort William,23000 79830,LOL,LOL
Lake of Menteith,LOM,D,Castle,43,56 10.466N 004 18.105W,,13,WNW,Stirling,25720 70036,LOM,LOM
Longleat,LON,B,Bridge over Lake,322,51 11.090N 002 16.343W,,12,SSE,Bath,38106 14288,LON,LON
Loch Quoich East,LOQ,B,Power house under dam wall,570,57 04.284N 005 11.023W,,15,NNW,Fort William,20710 80232,LOQ,LOQ
Louth,LOU,A,A631/A157,56,53 21.859N 000 02.039W,,20,ENE,Lincoln,53092 38707,LOU,LOU
Lowick,LOW,A,A5084/A5092,164,54 15.465N 003 04.700W,,15,NW,Lancaster,32985 48521,LOW,LOW
Little Rissington,LRI,A#,Control Tower,730,51 52.178N 001 41.680W,120.775,15,E,Cheltenham,42112 21905,LRI,LRI
Lanark,LRK,A#,A72/River Br,49,55 40.554N 003 48.097W,,18,SE,Glasgow,28680 64396,LRK,LRK
Llansannan,LSA,C,A544/Minor Road Junction,549,53 10.714N 003 35.832W,,25,W,Chester,29335 36580,LSA,LSA
Llandysul,LSL,B#,A486 Bridge,213,52 02.314N 004 18.756W,,27,NNW,Swansea,24148 24032,LSL,LSL
Loch Seilich N,LSN,D,Dam wall,1247,56 58.046N 004 02.195W,,32,S,Inverness,27628 78809,LSN,LSN
Liss,LSS,A,A3/B3006 r'bout,236,51 03.579N 000 53.987W,,9,SSE,Lasham,47720 12950,LSS,LSS
Long Sutton,LSU,A,A17/B1390,7,52 46.591N 000 06.815E,,19,NE,Peterborough,54267 32198,LSU,LSU
Lincoln Southwest,LSW,A,A46 Br over Rail,154,53 11.493N 000 37.496W,,3,SW,Lincoln,49197 36693,LSW,LSW
Langtoft,LTF,B#,T-junction,230,54 05.047N 000 27.364W,,24,ESE,York,50110 46646,LTF,LTF
Longtown,LTN,B,Bridge over R Esk,45,55 00.624N 002 58.485W,,6,N,Carlisle,33776 56886,LTN,LTN
Ludlow,LUD,C,"Castle, Inner Bailey",299,52 22.056N 002 43.424W,,18,N,Hereford,35082 27464,LUD,LUD
Luncarty,LUN,A,A9/B9099/B8063,299,56 26.855N 003 28.347W,,4,N,Perth,30933 72935,LUN,LUN
Lussa Loch S,LUS,B,Tower in water at S end of dam,425,55 29.840N 005 37.725W,,50,SW,Glasgow,17090 62860,LUS,LUS
Lutterworth,LUT,A,M1 J20/A427,400,52 26.987N 001 11.502W,,10,S,Leicester,45503 28384,LUT,LUT
Loch Venachar,LVE,D,E end Water Works,43,56 13.713N 004 15.706W,,13,NW,Stirling,25988 70630,LVE,LVE
Lavenham,LVN,C,Church,226,52 06.387N 000 47.484E,,13,WNW,Ipswich,59126 24902,LVN,LVN
Low Lorton,LWL,B,Bridge,233,54 37.127N 003 18.904W,,20,SW,Carlisle,31518 52564,LWL,LWL
Lewes nw,LWN,D,Offham Church Tower,92,50 53.522N 000 00.596W,,6,NE,Brighton,54006 11217,LWN,LWN
Llwyngwril Bridge,LYB,A,River Bridge,22,52 39.938N 004 05.054W,,44,W,Shrewsbury,25915 30959,LYB,LYB
Leyland North East,LYD,A,M65 (J1) flyover over M6 (J29),197,53 42.955N 002 39.682W,,21,S,Lancaster,35645 42459,LYD,LYD
Lyneham a/f,LYN,A#,24/30 intersection,472,51 30.459N 001 59.737W,,9,SW,Swindon,40040 17875,LYN,LYN
Ladybower Reservoir,LYR,A,A57/A6013,853,53 22.431N 001 41.861W,,24,WSW,Doncaster,42021 38638,LYR,LYR
Lyveden,LYV,D#,Hangar,279,52 27.949N 000 35.008W,129.980,17,NE,Northampton,49633 28626,LYV,LYV
Machynlleth Station,MAC,B,Rail Station,35,52 35.715N 003 51.282W,,41,W,Shrewsbury,27447 30133,MAC,MAC
Market Deeping,MAD,A,A15/A16 R'bout,128,52 41.175N 000 19.579W,,6,NNW,Peterborough,51323 31115,MAD,MAD
Marlborough E,MAE,C,Bridge,387,51 25.439N 001 40.437W,,9,SE,Swindon,42277 16949,MAE,MAE
Market Harborough,MAH,C,Station/A427 Bridge,308,52 28.733N 000 54.588W,,11,SE,Leicester,47414 28733,MAH,MAH
Maidstone East,MAI,C,Leeds Castle N side,374,51 14.979N 000 37.825E,,4,ESE,Maidstone,58367 15334,MAI,MAI
Malton,MAL,C,Station,174,54 07.904N 000 47.760W,,4,NE,York,47877 47132,MAL,MAL
Malmesbury,MAM,A,A429/B4040 R'bout,269,51 35.449N 002 05.341W,,12,W,Swindon,39393 18800,MAM,MAM
Manton,MAN,A,A6003/Rail Bridge,338,52 38.185N 000 42.294W,,15,E,Leicester,48774 30508,MAN,MAN
Marlborough,MAR,C,A345/River Bridge,430,51 24.978N 001 43.975W,,16,W,Newbury,41867 16862,MAR,MAR
Masham,MAS,C,A6108/River Bridge,85,54 13.574N 001 39.309W,,24,NW,York,42258 48122,MAS,MAS
Matlock,MAT,C,A6/A632/A615,236,53 08.300N 001 33.342W,,12,N,Derby,42982 36022,MAT,MAT
Market Weighton,MAW,A,A163/A1079,62,53 52.435N 000 41.954W,,15,ESE,York,48562 44275,MAW,MAW
Mablethorpe,MBL,B,A52/A1104,10,53 20.515N 000 15.704E,,30,ENE,Lincoln,55067 38516,MBL,MBL
Market Bosworth,MBO,A,A447/B585,443,52 37.502N 001 22.613W,,9,W,Leicester,44228 30321,MBO,MBO
Montford Bridge,MBR,A,Runway intersection,240,52 44.908N 002 50.610W,,5,NW,Shrewsbury,34316 31709,MBR,MBR
Melbury Bubb,MBU,A,A37/Rail,541,50 50.249N 002 34.683W,,7,SSE,Yeovil,35939 10438,MBU,MBU
Manby,MBY,C,Old Control Tower,60,53 21.620N 000 05.380E,,23,ENE,Lincoln,53916 38686,MBY,MBY
March,MCH,A,Rail/River Bridge,7,52 33.308N 000 06.196E,,12,E,Peterborough,54269 29733,MCH,MCH
Maidstone North,MDN,C#!,A229 Bridge,321,51 19.116N 000 30.497E,,3,NNW,Maidstone,57489 16071,MDN,MDN
Measham,MEA,A,M42 J11/A444,364,52 41.335N 001 32.897W,,15,WNW,Leicester,43063 31023,MEA,MEA
East Meon,MEE,C,Church,394,50 59.755N 001 01.889W,,10,N,Portsmouth,46806 12228,MEE,MEE
Melksham,MEL,C,Station/A365 Bridge,112,51 22.746N 002 08.705W,,8,E,Bath,39000 16446,MEL,MEL
Membury,MEM,A,M4 Services Bridge,659,51 28.927N 001 33.385W,,9,ESE,Swindon,43090 17600,MEM,MEM
Mendlesham,MEN,C,Tall Aerial Mast,203,52 14.071N 001 06.457E,,10,N,Ipswich,61230 26414,MEN,MEN
Mere,MER,C,Church Tower,348,51 05.360N 002 16.249W,,18,W,Salisbury,38113 13226,MER,MER
Melton Mowbray,MET,B,Station/A606 Br,213,52 45.656N 000 52.983W,,12,NE,Leicester,47547 31873,MET,MET
West Meon Hut,MEW,A,A32/A272,338,51 01.875N 001 04.505W,,9,S,Lasham,46496 12617,MEW,MEW
Mexborough S,MEX,B,A6022/A6023,60,53 29.571N 001 17.711W,,7,WSW,Doncaster,44686 39980,MEX,MEX
Mansfield NE,MFD,A,Rail Junction,220,53 10.878N 001 05.582W,,20,W,Lincoln,46071 36530,MFD,MFD
Margery Hill,MGH,D#,1791ft Spot Height,1791,53 27.460N 001 43.019W,,22,WSW,Doncaster,41890 39569,MGH,MGH
Minchinhampton,MHT,C,Church.,554,51 42.353N 002 11.175W,,12,SSW,Cheltenham,38723 20081,MHT,MHT
Micheldever,MIC,C#,Rail Bridge,361,51 10.704N 001 15.655W,,9,W,Lasham,45176 14239,MIC,MIC
Mingary Pier,MIG,A,Sea end of B8007,10,56 41.307N 006 05.629W,,34,WSW,Fort William,14941 76268,MIG,MIG
Milfield,MIL,C#,Gliding Site 35/23,150,55 35.335N 002 05.377W,130.105,10,S,Berwick,39445 63281,MIL,MIL
Midhurst Mast,MIM,C#,376 ft mast,161,51 01.028N 000 42.021W,,16,SE,Lasham,49126 12500,MIM,MIM
Mintlaw,MIN,B,A950/A92,66,57 31.509N 002 00.089W,,23,NNE,Aberdeen,40001 84833,MIN,MIN
Milnthorpe,MIT,A,M6 J36,177,54 14.181N 002 43.070W,,12,N,Lancaster,35331 48253,MIT,MIT
Midhurst West,MIW,C#,River bridge,75,50 59.469N 000 45.458W,,16,SE,Lasham,48729 12204,MIW,MIW
Mellon Charles,MLL,C,Loch,35,57 51.534N 005 38.232W,,15,W,Ullapool,18432 89129,MLL,MLL
Melmerby,MLM,A,A686 crossroads village centre,540,54 43.818N 002 35.952W,,19,SE,Carlisle,36151 53742,MLM,MLM
Molton,MLN,A,A361/River Bridge,207,51 01.675N 003 49.480W,,21,NNW,Exeter,27214 12698,MLN,MLN
Milton,MLT,A,A833/A831,374,57 20.317N 004 30.825W,,12,SW,Inverness,24880 83036,MLT,MLT
Madley,MLY,A#,Crossroads,260,52 02.671N 002 50.847W,,6,W,Hereford,34198 23880,MLY,MLY
Maryport NE,MNE,A,A596/B5300,36,54 43.234N 003 28.901W,,21,WSW,Carlisle,30466 53718,MNE,MNE
Menai Strait,MNS,A,A55 Bridge,45,53 12.962N 004 11.140W,,45,W,Chester,25416 37101,MNS,MNS
Millom NW,MNW,A,A595/A5093,59,54 13.758N 003 20.110W,,21,NW,Lancaster,31306 48233,MNW,MNW
Monkton,MOK,C#,Rail/Minor road,240,51 20.054N 001 15.677E,,7,ENE,Canterbury,62727 16451,MOK,MOK
Monmouth,MOM,A,River/A466 Bridge,236,51 48.680N 002 42.556W,,15,S,Hereford,35120 21276,MOM,MOM
Montgomery,MON,C,B4386/ B4385,223,52 33.765N 003 08.878W,,14,SW,Shrewsbury,32228 29672,MON,MON
Muir of Ord,MOO,C,Station,98,57 31.024N 004 27.603W,,9,WNW,Inverness,25275 85010,MOO,MOO
Morpeth,MOP,A,A697 br over A1,174,55 11.449N 001 42.922W,,13,N,Newcastle,41822 58854,MOP,MOP
Moreton-in-marsh,MOR,A,Rail/A44 Bridge,440,51 59.413N 001 41.954W,,15,WSW,Banbury,42075 23246,MOR,MOR
